I1,I2,I3,gx,gy,gz,ax,ay,az,V1real,V2real,V3real,N1,N2,N3,Vx,Vy,Omega,Ix,Iy,Iphi,Isigma,Type
1.126697,0.0211161176470588,0.927601058823529,0.712941176470588,-0.252941177058824,1.08176470588235,0.0435288794117647,0.0031738523529411,0.0116613017647059,-249.352941176471,4.76470588235294,265.235294117647,-5070,30,5239,11.88390624675494,0.0847058823529351,2.202352941176423,-0.1149480952327976,0.6706886078431369,0.691804725490196,2.075414176470588,1
0.249572473333333,0.451282066666667,0.437606733333333,-0.351333333333333,-1.46066666666667,34.9013333333333,0.0217610833333333,0.0235351464,0.0169108033333333,334.8,327.6,327.6,5808,5710,5658,-0.1662768775266125,0.0959999999999985,105.6,0.1085616306278721,-0.071794975555556,0.379487091111111,1.138461273333333,1
0.4198716875,0.51602575,0.3541665,-0.170625,-4.690625,74.286875,-0.003128120625,-0.0083160375,-0.031677259375,747.5625,744.1875,757.6875,12229,12152,12262,0.2338268590217967,0.2249999999999955,239.94,-0.0379349076902798,-0.0860044374999999,0.4300213124999999,1.2900639375,1
1.03921505882353,0.0150829470588235,0.953242764705882,0.229411764705882,0.276470588235294,0.485294117647059,0.0136718670588235,-0.0055721647058823,0.0121639499411765,-260.470588235294,0.0,263.647058823529,-5320,-9,5391,12.10397858465779,0.0423529411764667,0.3388235294117339,-0.0496361271516737,0.6540973098039216,0.6691802568627452,2.007540770588236,1
0.42948713125,0.42307675,0.389422875,-1.02375,-5.17625,75.62125,-0.013473467,0.0140991875,-0.01994319375,750.9375,756.0,762.75,14020,14081,14058,0.2727980021920985,0.0224999999999954,242.1,-0.0231311091308196,-0.0090811645833333,0.4139955854166666,1.24198675625,1
1.11764758823529,0.0226244117647059,1.10859682352941,0.564117647058824,0.0305882352941177,0.882352941176471,0.0175637928823529,-0.0118910705882353,-0.0110581347058824,-260.470588235294,0.0,258.882352941176,-4631,-4,4631,11.99394241570635,-0.0211764705882393,-0.1694117647059147,-0.0052254614393119,0.7269985294117627,0.7496229411764685,2.248868823529406,1
1.03318282352941,0.0120663588235294,0.895927470588235,0.177647058823529,0.179411764705882,0.457647058823529,0.0128676470588235,-0.01223576,-0.0101246541764706,-265.235294117647,3.17647058823529,266.823529411765,-5519,-5,5589,12.28737219957686,-0.0635294117647015,0.5082352941176805,-0.0792444149683045,0.6349925254901952,0.6470588843137248,1.941176652941174,1
0.806938235294118,0.0045248823529411,0.779789535294118,1.12529411764706,-0.335882352941176,1.45588235294118,0.0149931147058824,0.0007611399411764,-0.0181238747058824,-214.411764705882,0.0,214.411764705882,-3631,2,3611,9.903255205629094,0.0,0.0,-0.0156743092531483,0.5258926686274512,0.5304175509803923,1.591252652941177,1
0.53092,1.08295605882353,0.541478294117647,0.63764705882353,0.356470588235294,-1.72176470588235,0.0155675517647059,0.0018669535294117,-0.0014791935294117,155.647058823529,-309.705882352941,152.470588235294,2877,-5835,2862,-0.0733574459676162,12.3670588235294,-0.169411764705917,0.0060958339510068,-0.3645046078431378,0.7184514509803923,2.155354352941177,1
0.562594352941177,1.03469088235294,0.472096294117647,0.185882352941176,-0.359411764705882,-1.73294117647059,0.0102826158823529,-0.0056008705882353,0.0102395405882353,150.882352941176,-317.647058823529,152.470588235294,2829,-5826,2915,0.0366787229838195,12.51529411764704,-1.524705882352955,-0.0522490786229036,-0.3448970392156854,0.6897938431372546,2.069381529411764,1
0.533936764705882,1.01659188235294,0.542986652941177,0.86764705882353,0.277058823529412,-1.15235294117647,0.0085736498823529,-0.0104118882941176,0.0093204252941176,139.764705882353,-290.647058823529,144.529411764706,2904,-5936,2912,0.1100361689514358,11.54117647058822,-0.6776470588234633,0.0052249554087835,-0.3187534490196071,0.6978384333333331,2.093515299999999,1
0.319758470588235,0.74359,0.963800764705882,0.867058823529412,0.686470588235294,-3.11176470588235,-0.0049833464705882,-0.0294548405882353,-0.0196461317647059,-112.764705882353,-328.764705882353,455.823529411765,-2434,-7022,9816,13.13098282820453,13.34117647058824,1.524705882352964,0.3718379918783276,-0.0678735882352943,0.6757164117647056,2.027149235294117,1
0.343891247058823,0.720965470588235,0.853695823529412,0.374117647058823,-0.187647058823529,-2.07294117647059,0.0052418435294117,0.0009909658823529,0.0114315294117647,-103.235294117647,-303.352941176471,427.235294117647,-1992,-5903,8239,12.25069347659304,12.40941176470589,2.202352941176423,0.2943358094593977,-0.081447956862745,0.6395175137254899,1.91855254117647,1
0.382642846153846,0.552268461538462,0.289940538461538,-0.292307692307692,-1.02615384692308,18.06,-0.0037560161538461,0.0048640476923076,0.0129582299230769,166.153846153846,147.461538461538,168.230769230769,2458,2314,2579,0.0479644839019056,0.5261538461538524,51.39692307692297,-0.0535217023006535,-0.1439845128205134,0.4082839487179486,1.224851846153846,1
0.410256230769231,0.278106230769231,0.270216692307692,9.90538461538461,1.65846153846154,15.4869230769231,-0.0168550884615385,-0.0078312892307692,0.04204852,159.923076923077,168.230769230769,168.230769230769,2204,2304,2297,0.1918579356076225,-0.1107692307692272,52.94769230769227,-0.0808518652279604,0.0414201538461536,0.3195263846153847,0.958579153846154,1
0.236686153846154,0.465483230769231,0.260354769230769,0.261538461538462,-1.11461538461538,16.23,-0.0060096029230769,-0.0038874639230769,0.0088266293076923,149.538461538462,149.538461538462,153.692307692308,2331,2168,2356,0.0959289678038106,0.0553846153846126,48.29538461538474,0.0136650814636531,-0.1446418461538463,0.3208413846153846,0.962524153846154,1
